Token: EMPTY, Lexema: empty
Token: SEPARATOR, Lexema: ~
Token: MAIN, Lexema: __main__
Token: PAREN_OPEN, Lexema: <|
Token: PAREN_CLOSE, Lexema: |>
Token: BLOCK_START, Lexema: |:
Token: INT, Lexema: int
Token: SEPARATOR, Lexema: ~
Token: ID, Lexema: _var_
Token: ASSIGN, Lexema: <-
Token: INT_LITERAL, Lexema: 2
Token: END_EXPR, Lexema: !
Token: IF, Lexema: if
Token: PAREN_OPEN, Lexema: <|
Token: ID, Lexema: _var_
Token: PAREN_CLOSE, Lexema: |>
Token: BLOCK_START, Lexema: |:
Token: RETURN, Lexema: return
Token: SEPARATOR, Lexema: ~
Token: ID, Lexema: _var_
Token: END_EXPR, Lexema: !
Token: COUT, Lexema: cout
Token: PAREN_OPEN, Lexema: <|
Token: STRING_LITERAL, Lexema: "entra al if"
Token: PAREN_CLOSE, Lexema: |>
Token: END_EXPR, Lexema: !
Token: BLOCK_END, Lexema: :|
Token: BLOCK_END, Lexema: :|
